CHR,START,STOP,GENE
scaffold_1,253069,256552,Migut.A00065.1.v2.0
scaffold_1,257286,259627,Migut.A00066.1.v2.0
scaffold_1,262908,264816,Migut.A00067.1.v2.0
scaffold_1,264835,281436,Migut.A00068.1.v2.0
scaffold_1,285862,286727,Migut.A00069.1.v2.0
scaffold_1,298194,299853,Migut.A00070.1.v2.0
scaffold_1,298194,299853,Migut.A00070.2.v2.0
scaffold_1,299876,306430,Migut.A00071.1.v2.0
scaffold_1,308464,317781,Migut.A00072.1.v2.0
scaffold_1,308103,317781,Migut.A00072.2.v2.0
scaffold_1,308317,317781,Migut.A00072.3.v2.0
scaffold_1,308473,317781,Migut.A00072.4.v2.0
scaffold_1,312126,313493,Migut.A00073.1.v2.0
scaffold_1,318436,320080,Migut.A00074.1.v2.0
scaffold_1,320325,324440,Migut.A00075.1.v2.0
scaffold_1,338953,340110,Migut.A00076.1.v2.0
scaffold_1,340169,342190,Migut.A00077.1.v2.0
scaffold_1,342286,345405,Migut.A00078.1.v2.0
scaffold_1,345468,350919,Migut.A00079.1.v2.0
scaffold_1,355016,358926,Migut.A00080.1.v2.0
scaffold_1,363284,365216,Migut.A00081.1.v2.0
scaffold_1,366674,372426,Migut.A00082.1.v2.0
scaffold_1,373425,375087,Migut.A00083.1.v2.0
scaffold_1,375511,378125,Migut.A00084.1.v2.0
scaffold_1,381188,387481,Migut.A00085.1.v2.0
scaffold_1,381188,387481,Migut.A00085.2.v2.0
scaffold_1,381188,387481,Migut.A00085.3.v2.0
scaffold_1,381188,387481,Migut.A00085.4.v2.0
scaffold_1,381188,387481,Migut.A00085.5.v2.0
scaffold_1,391678,395769,Migut.A00086.1.v2.0
scaffold_1,391678,395769,Migut.A00086.2.v2.0
scaffold_1,392130,395769,Migut.A00086.3.v2.0
scaffold_1,398173,400952,Migut.A00087.1.v2.0
scaffold_1,401585,404244,Migut.A00088.1.v2.0
scaffold_1,407880,410744,Migut.A00089.1.v2.0
scaffold_1,412229,414427,Migut.A00090.1.v2.0
scaffold_1,416347,418170,Migut.A00091.1.v2.0
scaffold_1,424592,425970,Migut.A00092.1.v2.0
scaffold_1,426197,428012,Migut.A00093.1.v2.0
scaffold_1,429456,430654,Migut.A00094.1.v2.0
scaffold_1,430488,432790,Migut.A00095.1.v2.0
scaffold_1,433600,435208,Migut.A00096.1.v2.0
scaffold_1,435789,437624,Migut.A00097.1.v2.0
scaffold_1,437828,439547,Migut.A00098.1.v2.0
scaffold_1,440353,440898,Migut.A00099.1.v2.0
scaffold_1,441399,441872,Migut.A00100.1.v2.0
scaffold_1,442008,445594,Migut.A00101.1.v2.0
scaffold_1,442008,445594,Migut.A00101.2.v2.0
scaffold_1,448198,449226,Migut.A00102.1.v2.0
scaffold_1,450279,452549,Migut.A00103.1.v2.0
scaffold_1,452069,453809,Migut.A00104.1.v2.0
scaffold_1,454210,459597,Migut.A00105.1.v2.0
scaffold_1,454210,459597,Migut.A00105.2.v2.0
scaffold_1,459577,462839,Migut.A00106.1.v2.0
scaffold_1,459577,462839,Migut.A00106.2.v2.0
scaffold_1,459577,462839,Migut.A00106.3.v2.0
scaffold_1,459577,462196,Migut.A00106.4.v2.0
scaffold_1,465255,467310,Migut.A00107.1.v2.0
scaffold_1,468482,470599,Migut.A00108.1.v2.0
scaffold_1,471727,476246,Migut.A00109.1.v2.0
scaffold_1,471605,476246,Migut.A00109.2.v2.0
scaffold_1,482822,487280,Migut.A00110.1.v2.0
scaffold_1,483267,487310,Migut.A00110.2.v2.0
scaffold_1,497510,498873,Migut.A00111.1.v2.0
scaffold_1,497510,498873,Migut.A00111.2.v2.0
scaffold_1,502017,502775,Migut.A00112.1.v2.0
scaffold_1,509550,510411,Migut.A00113.1.v2.0
scaffold_1,510602,513808,Migut.A00114.1.v2.0
scaffold_1,510623,513808,Migut.A00114.2.v2.0
scaffold_1,514732,515361,Migut.A00115.1.v2.0
scaffold_1,516883,517667,Migut.A00116.1.v2.0
scaffold_1,517946,519602,Migut.A00117.1.v2.0
scaffold_1,526902,528681,Migut.A00118.1.v2.0
scaffold_1,528617,529576,Migut.A00119.1.v2.0
scaffold_1,530092,530563,Migut.A00120.1.v2.0
scaffold_1,531888,534668,Migut.A00121.1.v2.0
scaffold_1,536474,538751,Migut.A00122.1.v2.0
scaffold_1,538751,540928,Migut.A00123.1.v2.0
scaffold_1,542638,543584,Migut.A00124.1.v2.0
scaffold_1,545434,546994,Migut.A00125.1.v2.0
scaffold_1,580927,581799,Migut.A00126.1.v2.0
scaffold_1,585868,588932,Migut.A00127.1.v2.0
scaffold_1,590292,592026,Migut.A00128.1.v2.0
scaffold_1,590292,592026,Migut.A00128.2.v2.0
scaffold_1,590292,592026,Migut.A00128.3.v2.0
scaffold_1,592071,594478,Migut.A00129.1.v2.0
scaffold_1,596280,597826,Migut.A00130.1.v2.0
scaffold_1,601614,602267,Migut.A00131.1.v2.0
scaffold_1,603268,604534,Migut.A00132.1.v2.0
scaffold_1,606586,608581,Migut.A00133.1.v2.0
scaffold_1,617296,618592,Migut.A00134.1.v2.0
scaffold_1,621426,624579,Migut.A00135.1.v2.0
scaffold_1,625830,631082,Migut.A00136.1.v2.0
scaffold_1,631733,638660,Migut.A00137.1.v2.0
scaffold_1,639417,641664,Migut.A00138.1.v2.0
scaffold_1,638893,641664,Migut.A00138.2.v2.0
scaffold_1,647574,651399,Migut.A00139.1.v2.0
scaffold_1,647574,651399,Migut.A00139.2.v2.0
scaffold_1,652041,658689,Migut.A00140.1.v2.0
scaffold_1,661574,662156,Migut.A00141.1.v2.0
scaffold_1,666411,669277,Migut.A00142.1.v2.0
scaffold_1,669596,672984,Migut.A00143.1.v2.0
scaffold_1,678641,682889,Migut.A00144.1.v2.0
scaffold_1,683226,685209,Migut.A00145.1.v2.0
scaffold_1,685423,690661,Migut.A00146.1.v2.0
scaffold_1,698698,701555,Migut.A00147.1.v2.0
scaffold_1,701725,705979,Migut.A00148.1.v2.0
scaffold_1,701725,705979,Migut.A00148.2.v2.0
scaffold_1,706557,709503,Migut.A00149.1.v2.0
scaffold_1,710231,712433,Migut.A00150.1.v2.0
scaffold_1,712939,714912,Migut.A00151.1.v2.0
scaffold_1,715198,717944,Migut.A00152.1.v2.0
scaffold_1,721518,723523,Migut.A00153.1.v2.0
scaffold_1,723792,727632,Migut.A00154.1.v2.0
scaffold_1,728834,732388,Migut.A00155.1.v2.0
scaffold_1,733598,738602,Migut.A00156.1.v2.0
scaffold_1,739393,739590,Migut.A00157.1.v2.0
scaffold_1,744315,747667,Migut.A00158.1.v2.0
scaffold_1,748112,751321,Migut.A00159.1.v2.0
scaffold_1,748112,751321,Migut.A00159.2.v2.0
scaffold_1,755818,757534,Migut.A00160.1.v2.0
scaffold_1,758545,764990,Migut.A00161.1.v2.0
scaffold_1,765069,769466,Migut.A00162.1.v2.0
scaffold_1,770216,773520,Migut.A00163.1.v2.0
scaffold_1,770216,773520,Migut.A00163.2.v2.0
scaffold_1,770216,772935,Migut.A00163.3.v2.0
scaffold_1,773686,774662,Migut.A00164.1.v2.0
scaffold_1,773576,774905,Migut.A00164.2.v2.0
scaffold_1,778227,779820,Migut.A00165.1.v2.0
scaffold_1,784567,796181,Migut.A00166.1.v2.0
scaffold_1,785739,796181,Migut.A00166.2.v2.0
scaffold_1,801803,805514,Migut.A00167.1.v2.0
scaffold_1,809381,823042,Migut.A00168.1.v2.0
scaffold_1,825404,827440,Migut.A00169.1.v2.0
scaffold_1,825792,827440,Migut.A00169.2.v2.0
scaffold_1,827863,838521,Migut.A00170.1.v2.0
scaffold_1,839856,842490,Migut.A00171.1.v2.0
scaffold_1,842491,843443,Migut.A00172.1.v2.0
scaffold_1,844292,844717,Migut.A00173.1.v2.0
scaffold_1,845218,848048,Migut.A00174.1.v2.0
scaffold_1,847389,852726,Migut.A00175.1.v2.0
scaffold_1,848139,852726,Migut.A00175.2.v2.0
scaffold_1,853861,856152,Migut.A00176.1.v2.0
scaffold_1,854538,856152,Migut.A00176.2.v2.0
scaffold_1,856612,858333,Migut.A00177.1.v2.0
scaffold_1,858820,860171,Migut.A00178.1.v2.0
scaffold_1,858820,860171,Migut.A00178.2.v2.0
scaffold_1,860280,865646,Migut.A00179.1.v2.0
scaffold_1,865806,867881,Migut.A00180.1.v2.0
scaffold_1,867882,870195,Migut.A00181.1.v2.0
scaffold_1,871063,873732,Migut.A00182.1.v2.0
scaffold_1,874667,876650,Migut.A00183.1.v2.0
scaffold_1,877505,878127,Migut.A00184.1.v2.0
scaffold_1,879573,882979,Migut.A00185.1.v2.0
scaffold_1,879269,882979,Migut.A00185.2.v2.0
scaffold_1,879269,882979,Migut.A00185.3.v2.0
scaffold_1,883448,884927,Migut.A00186.1.v2.0
scaffold_1,886806,891603,Migut.A00187.1.v2.0
scaffold_1,892126,895549,Migut.A00188.1.v2.0
scaffold_1,898543,899136,Migut.A00189.1.v2.0
scaffold_1,901568,902151,Migut.A00190.1.v2.0
scaffold_1,902896,908512,Migut.A00191.1.v2.0
scaffold_1,908650,911203,Migut.A00192.1.v2.0
scaffold_1,913358,916844,Migut.A00193.1.v2.0
scaffold_1,913518,916805,Migut.A00193.2.v2.0
scaffold_1,922017,922995,Migut.A00194.1.v2.0
scaffold_1,925294,929352,Migut.A00195.1.v2.0
scaffold_1,937512,943076,Migut.A00196.1.v2.0
scaffold_1,946139,949012,Migut.A00197.1.v2.0
scaffold_1,950621,952191,Migut.A00198.1.v2.0
scaffold_1,956397,957196,Migut.A00199.1.v2.0
scaffold_1,957554,959854,Migut.A00200.1.v2.0
scaffold_1,959855,961641,Migut.A00201.1.v2.0
scaffold_1,962490,964595,Migut.A00202.1.v2.0
scaffold_1,962490,964595,Migut.A00202.2.v2.0
scaffold_1,965343,969971,Migut.A00203.1.v2.0
scaffold_1,972116,974605,Migut.A00204.1.v2.0
scaffold_1,974857,977016,Migut.A00205.1.v2.0
scaffold_1,994904,995950,Migut.A00206.1.v2.0
scaffold_1,1001090,1003117,Migut.A00207.1.v2.0
scaffold_1,1003912,1007317,Migut.A00208.1.v2.0
scaffold_1,1007764,1010458,Migut.A00209.1.v2.0
scaffold_1,1011090,1013475,Migut.A00210.1.v2.0
scaffold_1,1013663,1015817,Migut.A00211.1.v2.0
scaffold_1,1016514,1018891,Migut.A00212.1.v2.0
scaffold_1,1019276,1023082,Migut.A00213.1.v2.0
scaffold_1,1022382,1023887,Migut.A00214.1.v2.0
scaffold_1,1025255,1026373,Migut.A00215.1.v2.0
scaffold_1,1027555,1029476,Migut.A00216.1.v2.0
scaffold_1,1030336,1032066,Migut.A00217.1.v2.0
scaffold_1,1033762,1036805,Migut.A00218.1.v2.0
scaffold_1,1033762,1036805,Migut.A00218.2.v2.0
scaffold_1,1033841,1036276,Migut.A00218.3.v2.0
scaffold_1,1037119,1039096,Migut.A00219.1.v2.0
scaffold_1,1037119,1039242,Migut.A00219.2.v2.0
scaffold_1,1039823,1043012,Migut.A00220.1.v2.0
scaffold_1,1043809,1044273,Migut.A00221.1.v2.0
scaffold_1,1044274,1046541,Migut.A00222.1.v2.0
scaffold_1,1047657,1052583,Migut.A00223.1.v2.0
scaffold_1,1047657,1052583,Migut.A00223.2.v2.0
scaffold_1,1055652,1058959,Migut.A00224.1.v2.0
scaffold_1,1060487,1063865,Migut.A00225.1.v2.0
scaffold_1,1060475,1063865,Migut.A00225.2.v2.0
scaffold_1,1063998,1067018,Migut.A00226.1.v2.0
scaffold_1,1063998,1066753,Migut.A00226.2.v2.0
scaffold_1,1067305,1073211,Migut.A00227.1.v2.0
scaffold_1,1067305,1073211,Migut.A00227.2.v2.0
scaffold_1,1074210,1076229,Migut.A00228.1.v2.0
scaffold_1,1077071,1079872,Migut.A00229.1.v2.0
scaffold_1,1077071,1079872,Migut.A00229.2.v2.0
scaffold_1,1080670,1084679,Migut.A00230.1.v2.0
scaffold_1,1084744,1087083,Migut.A00231.1.v2.0
scaffold_1,1086828,1093927,Migut.A00232.1.v2.0
scaffold_1,1094965,1095865,Migut.A00233.1.v2.0
scaffold_1,1095965,1099793,Migut.A00234.1.v2.0
scaffold_1,1100409,1108174,Migut.A00235.1.v2.0
scaffold_1,1100409,1108174,Migut.A00235.2.v2.0
scaffold_1,1109298,1121763,Migut.A00236.1.v2.0
scaffold_1,1122254,1123463,Migut.A00237.1.v2.0
scaffold_1,1134855,1136784,Migut.A00238.1.v2.0
scaffold_1,1137796,1138847,Migut.A00239.1.v2.0
scaffold_1,1168782,1172222,Migut.A00240.1.v2.0
scaffold_1,1179462,1180346,Migut.A00241.1.v2.0
scaffold_1,1183890,1186136,Migut.A00242.1.v2.0
scaffold_1,1184435,1186136,Migut.A00242.2.v2.0
scaffold_1,1186188,1188491,Migut.A00243.1.v2.0
scaffold_1,1189175,1190633,Migut.A00244.1.v2.0
scaffold_1,1192556,1194538,Migut.A00245.1.v2.0
scaffold_1,1204621,1208642,Migut.A00246.1.v2.0
scaffold_1,1204602,1208642,Migut.A00246.2.v2.0
scaffold_1,1210095,1212820,Migut.A00247.1.v2.0
scaffold_1,1213443,1215107,Migut.A00248.1.v2.0
scaffold_1,1214431,1216422,Migut.A00249.1.v2.0
scaffold_1,1214431,1215718,Migut.A00249.2.v2.0
scaffold_1,1217130,1221251,Migut.A00250.1.v2.0
scaffold_1,1222367,1224333,Migut.A00251.1.v2.0
scaffold_1,1224594,1226480,Migut.A00252.1.v2.0
scaffold_1,1226481,1228313,Migut.A00253.1.v2.0
scaffold_1,1228703,1228810,Migut.A00254.1.v2.0
scaffold_1,1229660,1233651,Migut.A00255.1.v2.0
scaffold_1,1244060,1246128,Migut.A00256.1.v2.0
scaffold_1,1244060,1246128,Migut.A00256.2.v2.0
scaffold_1,1246812,1268896,Migut.A00257.1.v2.0
scaffold_1,1246815,1268896,Migut.A00257.2.v2.0
scaffold_1,1275002,1279718,Migut.A00258.1.v2.0
scaffold_1,1280032,1282443,Migut.A00259.1.v2.0
scaffold_1,1287334,1290194,Migut.A00260.1.v2.0
scaffold_1,1290609,1295220,Migut.A00261.1.v2.0
scaffold_1,1290609,1294435,Migut.A00261.2.v2.0
scaffold_1,1296886,1298287,Migut.A00262.1.v2.0
scaffold_1,1298696,1303074,Migut.A00263.1.v2.0
scaffold_1,1298696,1303074,Migut.A00263.2.v2.0
scaffold_1,1298696,1303074,Migut.A00263.3.v2.0
scaffold_1,1298696,1303074,Migut.A00263.4.v2.0
scaffold_1,1306673,1308376,Migut.A00264.1.v2.0
scaffold_1,1308539,1308945,Migut.A00265.1.v2.0
scaffold_1,1309481,1310061,Migut.A00266.1.v2.0
scaffold_1,1311578,1313462,Migut.A00267.1.v2.0
scaffold_1,1314643,1321712,Migut.A00268.1.v2.0
scaffold_1,1323312,1325410,Migut.A00269.1.v2.0
scaffold_1,1326841,1329339,Migut.A00270.1.v2.0
scaffold_1,1326841,1329491,Migut.A00270.2.v2.0
scaffold_1,1330125,1334045,Migut.A00271.1.v2.0
scaffold_1,1334582,1349084,Migut.A00272.1.v2.0
scaffold_1,1335730,1349084,Migut.A00272.2.v2.0
scaffold_1,1349532,1352206,Migut.A00273.1.v2.0
scaffold_1,1352774,1355259,Migut.A00274.1.v2.0
scaffold_1,1355963,1357236,Migut.A00275.1.v2.0
scaffold_1,1359454,1364917,Migut.A00276.1.v2.0
scaffold_1,1365247,1368779,Migut.A00277.1.v2.0
scaffold_1,1370544,1374008,Migut.A00278.1.v2.0
scaffold_1,1374655,1379774,Migut.A00279.1.v2.0
scaffold_1,1374655,1379774,Migut.A00279.2.v2.0
scaffold_1,1374655,1379774,Migut.A00279.3.v2.0
scaffold_1,1374655,1379774,Migut.A00279.4.v2.0
scaffold_1,1384779,1392355,Migut.A00280.1.v2.0
scaffold_1,1392453,1394275,Migut.A00281.1.v2.0
scaffold_1,1396385,1399514,Migut.A00282.1.v2.0
scaffold_1,1405153,1406973,Migut.A00283.1.v2.0
scaffold_1,1407908,1410605,Migut.A00284.1.v2.0
scaffold_1,1407908,1410611,Migut.A00284.2.v2.0
scaffold_1,1411211,1416323,Migut.A00285.1.v2.0
scaffold_1,1417073,1423590,Migut.A00286.1.v2.0
scaffold_1,1431075,1433735,Migut.A00287.1.v2.0
scaffold_1,1456939,1459551,Migut.A00288.1.v2.0
scaffold_1,1468628,1471474,Migut.A00289.1.v2.0
scaffold_1,1471700,1477639,Migut.A00290.1.v2.0
scaffold_1,1480637,1482454,Migut.A00291.1.v2.0
scaffold_1,1484952,1486702,Migut.A00292.1.v2.0
scaffold_1,1486743,1488793,Migut.A00293.1.v2.0
scaffold_1,1489378,1491482,Migut.A00294.1.v2.0
scaffold_1,1489378,1491482,Migut.A00294.2.v2.0
scaffold_1,1495332,1498484,Migut.A00295.1.v2.0
scaffold_1,1499702,1501525,Migut.A00296.1.v2.0
scaffold_1,1501547,1503644,Migut.A00297.1.v2.0
scaffold_1,1503714,1506098,Migut.A00298.1.v2.0
scaffold_1,1506099,1508425,Migut.A00299.1.v2.0
scaffold_1,1508513,1510421,Migut.A00300.1.v2.0
scaffold_1,1508513,1510421,Migut.A00300.2.v2.0
scaffold_1,1510485,1517397,Migut.A00301.1.v2.0
scaffold_1,1518547,1521360,Migut.A00302.1.v2.0
scaffold_1,1518909,1521360,Migut.A00302.2.v2.0
scaffold_1,1521567,1523196,Migut.A00303.1.v2.0
scaffold_1,1524967,1526165,Migut.A00304.1.v2.0
scaffold_1,1524967,1528114,Migut.A00304.2.v2.0
scaffold_1,1528386,1532638,Migut.A00305.1.v2.0
scaffold_1,1550563,1551209,Migut.A00306.1.v2.0
scaffold_1,1552548,1557135,Migut.A00307.1.v2.0
scaffold_1,1557919,1561882,Migut.A00308.1.v2.0
scaffold_1,1563370,1566550,Migut.A00309.1.v2.0
scaffold_1,1570876,1574277,Migut.A00310.1.v2.0
scaffold_1,1575202,1577748,Migut.A00311.1.v2.0
scaffold_1,1578085,1580437,Migut.A00312.1.v2.0
scaffold_1,1578085,1580437,Migut.A00312.2.v2.0
scaffold_1,1585370,1586996,Migut.A00313.1.v2.0
scaffold_1,1585370,1586996,Migut.A00313.2.v2.0
scaffold_1,1586081,1589543,Migut.A00314.1.v2.0
scaffold_1,1592231,1594914,Migut.A00315.1.v2.0
scaffold_1,1599293,1601642,Migut.A00316.1.v2.0
scaffold_1,1601778,1604572,Migut.A00317.1.v2.0
scaffold_1,1608032,1610034,Migut.A00318.1.v2.0
scaffold_1,1611135,1612031,Migut.A00319.1.v2.0
scaffold_1,1612594,1614215,Migut.A00320.1.v2.0
scaffold_1,1615078,1615461,Migut.A00321.1.v2.0
scaffold_1,1616293,1617035,Migut.A00322.1.v2.0
scaffold_1,1628536,1630878,Migut.A00323.1.v2.0
scaffold_1,1628536,1630878,Migut.A00323.2.v2.0
scaffold_1,1631756,1632819,Migut.A00324.1.v2.0
scaffold_1,1634799,1637511,Migut.A00325.1.v2.0
scaffold_1,1641892,1644187,Migut.A00326.1.v2.0
scaffold_1,1641871,1644187,Migut.A00326.2.v2.0
scaffold_1,1641892,1644187,Migut.A00326.3.v2.0
scaffold_1,1645564,1649383,Migut.A00327.1.v2.0
scaffold_1,1650312,1655724,Migut.A00328.1.v2.0
scaffold_1,1650316,1655724,Migut.A00328.2.v2.0
scaffold_1,1657306,1662353,Migut.A00329.1.v2.0
scaffold_1,1664701,1665282,Migut.A00330.1.v2.0
scaffold_1,1671746,1674316,Migut.A00331.1.v2.0
scaffold_1,1675478,1677021,Migut.A00332.1.v2.0
scaffold_1,1683299,1684558,Migut.A00333.1.v2.0
scaffold_1,1687823,1689145,Migut.A00334.1.v2.0
scaffold_1,1694983,1696133,Migut.A00335.1.v2.0
scaffold_1,1695538,1698868,Migut.A00336.1.v2.0
scaffold_1,1695538,1698868,Migut.A00336.2.v2.0
scaffold_1,1700548,1702554,Migut.A00337.1.v2.0
scaffold_1,1705262,1707480,Migut.A00338.1.v2.0
scaffold_1,1706394,1709859,Migut.A00339.1.v2.0
scaffold_1,1716243,1718732,Migut.A00340.1.v2.0
scaffold_1,1719242,1722463,Migut.A00341.1.v2.0
scaffold_1,1725416,1727916,Migut.A00342.1.v2.0
scaffold_1,1729487,1730122,Migut.A00343.1.v2.0
scaffold_1,1734285,1736468,Migut.A00344.1.v2.0
scaffold_1,1737024,1741518,Migut.A00345.1.v2.0
scaffold_1,1761957,1762712,Migut.A00346.1.v2.0
scaffold_1,1765659,1766650,Migut.A00347.1.v2.0
scaffold_1,1776204,1778055,Migut.A00348.1.v2.0
scaffold_1,1781771,1784032,Migut.A00349.1.v2.0
scaffold_1,1785404,1787944,Migut.A00350.1.v2.0
scaffold_1,1790898,1794369,Migut.A00351.1.v2.0
scaffold_1,1795638,1799654,Migut.A00352.1.v2.0
scaffold_1,1803222,1805735,Migut.A00353.1.v2.0
scaffold_1,1815995,1820029,Migut.A00354.1.v2.0
scaffold_1,1820440,1821192,Migut.A00355.1.v2.0
scaffold_1,1822352,1822654,Migut.A00356.1.v2.0
scaffold_1,1824559,1825463,Migut.A00357.1.v2.0
scaffold_1,1825599,1829741,Migut.A00358.1.v2.0
scaffold_1,1829913,1833998,Migut.A00359.1.v2.0
scaffold_1,1835370,1836610,Migut.A00360.1.v2.0
scaffold_1,1836676,1839942,Migut.A00361.1.v2.0
scaffold_1,1842031,1844730,Migut.A00362.1.v2.0
scaffold_1,1843758,1848592,Migut.A00363.1.v2.0
scaffold_1,1849086,1852326,Migut.A00364.1.v2.0
scaffold_1,1849086,1852326,Migut.A00364.2.v2.0
scaffold_1,1853875,1858358,Migut.A00365.1.v2.0
scaffold_1,1858788,1862487,Migut.A00366.1.v2.0
scaffold_1,1858788,1862487,Migut.A00366.2.v2.0
scaffold_1,1858710,1862211,Migut.A00366.3.v2.0
scaffold_1,1858710,1862211,Migut.A00366.4.v2.0
scaffold_1,1863055,1866835,Migut.A00367.1.v2.0
scaffold_1,1872747,1875919,Migut.A00368.1.v2.0
scaffold_1,1881661,1884824,Migut.A00369.1.v2.0
scaffold_1,1889843,1893450,Migut.A00370.1.v2.0
scaffold_1,1909004,1909647,Migut.A00371.1.v2.0
scaffold_1,1911990,1913336,Migut.A00372.1.v2.0
scaffold_1,1925133,1926681,Migut.A00373.1.v2.0
scaffold_1,1927177,1927764,Migut.A00374.1.v2.0
scaffold_1,1934140,1935075,Migut.A00375.1.v2.0
scaffold_1,1940610,1942398,Migut.A00376.1.v2.0
scaffold_1,1960972,1965370,Migut.A00377.1.v2.0
scaffold_1,1973323,1973984,Migut.A00378.1.v2.0
scaffold_1,1974368,1976898,Migut.A00379.1.v2.0
scaffold_1,1977834,1980836,Migut.A00380.1.v2.0
scaffold_1,1984967,1989672,Migut.A00381.1.v2.0
scaffold_1,1985311,1989672,Migut.A00381.2.v2.0
scaffold_1,1990762,1992576,Migut.A00382.1.v2.0
scaffold_1,1993332,1995571,Migut.A00383.1.v2.0
scaffold_1,1996402,1999648,Migut.A00384.1.v2.0
scaffold_1,2000402,2003738,Migut.A00385.1.v2.0
scaffold_1,2005141,2005608,Migut.A00386.1.v2.0
scaffold_1,2007172,2009306,Migut.A00387.1.v2.0
